generated_file,source_file,variant
images/negative/negative_aug_0159.png,images/negative/clouds_0000.png,flop
images/negative/negative_aug_0160.png,images/negative/clouds_0001.png,zoom_crop
images/negative/negative_aug_0161.png,images/negative/clouds_0002.png,rotate_crop
images/negative/negative_aug_0162.png,images/negative/clouds_0003.png,contrast
images/negative/negative_aug_0163.png,images/negative/clouds_0004.png,flop
images/negative/negative_aug_0164.png,images/negative/clouds_0005.png,zoom_crop
images/negative/negative_aug_0165.png,images/negative/clouds_0006.png,rotate_crop
images/negative/negative_aug_0166.png,images/negative/clouds_0007.png,contrast
images/negative/negative_aug_0167.png,images/negative/clouds_0008.png,flop
images/negative/negative_aug_0168.png,images/negative/clouds_0009.png,zoom_crop
images/negative/negative_aug_0169.png,images/negative/clouds_0010.png,rotate_crop
images/negative/negative_aug_0170.png,images/negative/clouds_0011.png,contrast
images/negative/negative_aug_0171.png,images/negative/clouds_0012.png,flop
images/negative/negative_aug_0172.png,images/negative/clouds_0013.png,zoom_crop
images/negative/negative_aug_0173.png,images/negative/clouds_0014.png,rotate_crop
images/negative/negative_aug_0174.png,images/negative/clouds_0015.png,contrast
images/negative/negative_aug_0175.png,images/negative/clouds_0016.png,flop
images/negative/negative_aug_0176.png,images/negative/clouds_0017.png,zoom_crop
images/negative/negative_aug_0177.png,images/negative/clouds_0018.png,rotate_crop
images/negative/negative_aug_0178.png,images/negative/clouds_0019.png,contrast
images/negative/negative_aug_0179.png,images/negative/clouds_0020.png,flop
images/negative/negative_aug_0180.png,images/negative/clouds_0021.png,zoom_crop
images/negative/negative_aug_0181.png,images/negative/clouds_0022.png,rotate_crop
images/negative/negative_aug_0182.png,images/negative/clouds_0023.png,contrast
images/negative/negative_aug_0183.png,images/negative/clouds_0024.png,flop
images/negative/negative_aug_0184.png,images/negative/dishes_0000.png,zoom_crop
images/negative/negative_aug_0185.png,images/negative/dishes_0001.png,rotate_crop
images/negative/negative_aug_0186.png,images/negative/dishes_0002.png,contrast
images/negative/negative_aug_0187.png,images/negative/dishes_0003.png,flop
images/negative/negative_aug_0188.png,images/negative/dishes_0004.png,zoom_crop
images/negative/negative_aug_0189.png,images/negative/dishes_0005.png,rotate_crop
images/negative/negative_aug_0190.png,images/negative/dishes_0006.png,contrast
images/negative/negative_aug_0191.png,images/negative/dishes_0007.png,flop
images/negative/negative_aug_0192.png,images/negative/dishes_0008.png,zoom_crop
images/negative/negative_aug_0193.png,images/negative/dishes_0009.png,rotate_crop
images/negative/negative_aug_0194.png,images/negative/dishes_0010.png,contrast
images/negative/negative_aug_0195.png,images/negative/dishes_0011.png,flop
images/negative/negative_aug_0196.png,images/negative/dishes_0012.png,zoom_crop
images/negative/negative_aug_0197.png,images/negative/dishes_0013.png,rotate_crop
images/negative/negative_aug_0198.png,images/negative/dishes_0014.png,contrast
images/negative/negative_aug_0199.png,images/negative/dishes_0015.png,flop
images/negative/negative_aug_0200.png,images/negative/dishes_0016.png,zoom_crop
images/negative/negative_aug_0201.png,images/negative/dishes_0017.png,rotate_crop
images/negative/negative_aug_0202.png,images/negative/dishes_0018.png,contrast
images/negative/negative_aug_0203.png,images/negative/dishes_0019.png,flop
images/negative/negative_aug_0204.png,images/negative/dishes_0020.png,zoom_crop
images/negative/negative_aug_0205.png,images/negative/dishes_0021.png,rotate_crop
images/negative/negative_aug_0206.png,images/negative/dishes_0022.png,contrast
images/negative/negative_aug_0207.png,images/negative/dishes_0023.png,flop
images/negative/negative_aug_0208.png,images/negative/dishes_0024.png,zoom_crop
images/negative/negative_aug_0209.png,images/negative/food_and_non_alcoholic_drinks_0000.png,rotate_crop
images/negative/negative_aug_0210.png,images/negative/food_and_non_alcoholic_drinks_0001.png,contrast
images/negative/negative_aug_0211.png,images/negative/food_and_non_alcoholic_drinks_0002.png,flop
images/negative/negative_aug_0212.png,images/negative/food_and_non_alcoholic_drinks_0003.png,zoom_crop
images/negative/negative_aug_0213.png,images/negative/food_and_non_alcoholic_drinks_0004.png,rotate_crop
images/negative/negative_aug_0214.png,images/negative/food_and_non_alcoholic_drinks_0005.png,contrast
images/negative/negative_aug_0215.png,images/negative/food_and_non_alcoholic_drinks_0006.png,flop
images/negative/negative_aug_0216.png,images/negative/food_and_non_alcoholic_drinks_0007.png,zoom_crop
images/negative/negative_aug_0217.png,images/negative/food_and_non_alcoholic_drinks_0008.png,rotate_crop
images/negative/negative_aug_0218.png,images/negative/food_and_non_alcoholic_drinks_0009.png,contrast
images/negative/negative_aug_0219.png,images/negative/food_and_non_alcoholic_drinks_0010.png,flop
images/negative/negative_aug_0220.png,images/negative/food_and_non_alcoholic_drinks_0011.png,zoom_crop
images/negative/negative_aug_0221.png,images/negative/food_and_non_alcoholic_drinks_0012.png,rotate_crop
images/negative/negative_aug_0222.png,images/negative/food_and_non_alcoholic_drinks_0013.png,contrast
images/negative/negative_aug_0223.png,images/negative/food_and_non_alcoholic_drinks_0014.png,flop
images/negative/negative_aug_0224.png,images/negative/food_and_non_alcoholic_drinks_0015.png,zoom_crop
images/negative/negative_aug_0225.png,images/negative/food_and_non_alcoholic_drinks_0016.png,rotate_crop
images/negative/negative_aug_0226.png,images/negative/food_and_non_alcoholic_drinks_0017.png,contrast
images/negative/negative_aug_0227.png,images/negative/food_and_non_alcoholic_drinks_0018.png,flop
images/negative/negative_aug_0228.png,images/negative/food_and_non_alcoholic_drinks_0019.png,zoom_crop
images/negative/negative_aug_0229.png,images/negative/food_and_non_alcoholic_drinks_0020.png,rotate_crop
images/negative/negative_aug_0230.png,images/negative/food_and_non_alcoholic_drinks_0021.png,contrast
images/negative/negative_aug_0231.png,images/negative/food_and_non_alcoholic_drinks_0022.png,flop
images/negative/negative_aug_0232.png,images/negative/food_and_non_alcoholic_drinks_0023.png,zoom_crop
images/negative/negative_aug_0233.png,images/negative/food_and_non_alcoholic_drinks_0024.png,rotate_crop
images/negative/negative_aug_0234.png,images/negative/hard_negatives_0000.png,contrast
images/negative/negative_aug_0235.png,images/negative/hard_negatives_0001.png,flop
images/negative/negative_aug_0236.png,images/negative/hard_negatives_0002.png,zoom_crop
images/negative/negative_aug_0237.png,images/negative/hard_negatives_0003.png,rotate_crop
images/negative/negative_aug_0238.png,images/negative/hard_negatives_0004.png,contrast
images/negative/negative_aug_0239.png,images/negative/hard_negatives_0005.png,flop
images/negative/negative_aug_0240.png,images/negative/hard_negatives_0006.png,zoom_crop
images/negative/negative_aug_0241.png,images/negative/hard_negatives_0007.png,rotate_crop
images/negative/negative_aug_0242.png,images/negative/hard_negatives_0008.png,contrast
images/negative/negative_aug_0243.png,images/negative/hard_negatives_0009.png,flop
images/negative/negative_aug_0244.png,images/negative/hard_negatives_0010.png,zoom_crop
images/negative/negative_aug_0245.png,images/negative/hard_negatives_0011.png,rotate_crop
images/negative/negative_aug_0246.png,images/negative/hard_negatives_0012.png,contrast
images/negative/negative_aug_0247.png,images/negative/hard_negatives_0013.png,flop
images/negative/negative_aug_0248.png,images/negative/hard_negatives_0014.png,zoom_crop
images/negative/negative_aug_0249.png,images/negative/hard_negatives_0015.png,rotate_crop
images/negative/negative_aug_0250.png,images/negative/hard_negatives_0016.png,contrast
images/negative/negative_aug_0251.png,images/negative/hard_negatives_0017.png,flop
images/negative/negative_aug_0252.png,images/negative/hard_negatives_0018.png,zoom_crop
images/negative/negative_aug_0253.png,images/negative/hard_negatives_0019.png,rotate_crop
images/negative/negative_aug_0254.png,images/negative/hard_negatives_0021.png,contrast
images/negative/negative_aug_0255.png,images/negative/hard_negatives_0022.png,flop
images/negative/negative_aug_0256.png,images/negative/hard_negatives_0023.png,zoom_crop
images/negative/negative_aug_0257.png,images/negative/hard_negatives_0024.png,rotate_crop
images/negative/negative_aug_0258.png,images/negative/negative_clouds_screen_main.png,contrast
images/negative/negative_aug_0259.png,images/negative/negative_clouds_sky.png,flop
images/negative/negative_aug_0260.png,images/negative/negative_clouds_window.png,zoom_crop
images/negative/negative_aug_0261.png,images/negative/negative_dishes_clean.png,rotate_crop
